,id_guest,id_host,id_listing,ts_interaction_first,m_first_message_length,ab,acceptance,message_length_level
8991,8383,2349,1103,2013-01-11 20:28:00,534.0,1,1,53.0
8992,6831,2239,2429,2013-01-11 22:59:00,350.0,1,1,35.0
8993,5009,3503,3508,2013-01-12 00:33:00,270.0,1,1,27.0
5963,1050,1146,830,2013-01-12 08:45:00,805.0,1,0,80.0
47,9086,2682,1443,2013-01-12 12:16:00,560.0,1,0,56.0
5964,5095,3503,3508,2013-01-12 12:28:00,301.0,1,1,30.0
2988,2233,2973,450,2013-01-12 13:52:00,353.0,1,0,35.0
2989,7877,52,2257,2013-01-12 14:58:00,433.0,1,0,43.0
2991,2281,1753,1613,2013-01-12 16:41:00,269.0,1,0,26.0
8995,6689,1276,1671,2013-01-12 16:43:00,246.0,1,1,24.0
8996,4597,2905,4005,2013-01-12 17:13:00,410.0,1,0,41.0
2993,8656,3041,2380,2013-01-12 20:34:00,169.0,1,1,16.0
5965,3226,3177,3196,2013-01-13 00:16:00,296.0,1,0,29.0
50,7922,2306,955,2013-01-13 00:52:00,619.0,1,0,61.0
8711,7712,1970,1059,2013-01-13 02:38:00,150.0,1,1,15.0
53,3155,599,3907,2013-01-13 06:06:00,237.0,1,0,23.0
2996,564,3085,4358,2013-01-13 13:48:00,366.0,1,0,36.0
54,8806,2436,1156,2013-01-13 15:55:00,489.0,1,1,48.0
8998,7051,2202,3889,2013-01-13 16:58:00,340.0,1,0,34.0
55,3782,2905,3780,2013-01-13 17:46:00,838.0,1,1,83.0
5969,4898,2450,274,2013-01-13 19:38:00,712.0,1,0,71.0
9000,5918,3041,4191,2013-01-13 22:34:00,341.0,1,0,34.0
8712,361,951,2251,2013-01-14 01:04:00,140.0,1,0,14.0
8713,6750,2036,2046,2013-01-14 01:30:00,199.0,1,1,19.0
59,332,2412,4212,2013-01-14 06:53:00,594.0,1,0,59.0
3000,7249,781,2446,2013-01-14 15:55:00,286.0,1,0,28.0
9002,5731,2927,2692,2013-01-14 19:05:00,387.0,1,1,38.0
5974,3762,2933,4377,2013-01-14 23:54:00,370.0,1,1,37.0
62,4069,3579,28,2013-01-15 03:07:00,396.0,1,0,39.0
5976,5295,766,4342,2013-01-15 05:07:00,228.0,1,0,22.0
3002,6257,1143,92,2013-01-15 06:03:00,2542.0,1,0,254.0
5977,4,150,3595,2013-01-15 07:00:00,204.0,1,0,20.0
9004,210,1615,432,2013-01-15 08:31:00,345.0,1,0,34.0
3003,1049,3488,2953,2013-01-15 08:59:00,672.0,1,0,67.0
65,7446,2523,1965,2013-01-15 15:02:00,152.0,1,1,15.0
9005,699,3240,3942,2013-01-15 16:18:00,346.0,1,0,34.0
9006,5737,3321,97,2013-01-15 17:28:00,268.0,1,0,26.0
9008,304,371,884,2013-01-15 18:15:00,729.0,1,0,72.0
9009,2647,1724,3437,2013-01-15 18:38:00,144.0,1,1,14.0
5653,3433,1928,699,2013-01-15 22:03:00,140.0,1,1,14.0
5979,7387,2446,3638,2013-01-16 02:54:00,829.0,1,0,82.0
3005,5609,367,1712,2013-01-16 02:54:00,183.0,1,0,18.0
3007,8444,789,1890,2013-01-16 06:06:00,169.0,1,0,16.0
5980,4516,804,721,2013-01-16 06:13:00,517.0,1,0,51.0
5983,3034,2748,410,2013-01-16 18:24:00,999.0,1,0,99.0
70,8245,208,1894,2013-01-16 18:34:00,272.0,1,0,27.0
5985,5229,1276,257,2013-01-17 01:49:00,521.0,1,1,52.0
73,1695,882,2014,2013-01-17 02:52:00,427.0,1,1,42.0
3011,8579,882,2014,2013-01-17 03:06:00,406.0,1,0,40.0
9013,8966,1795,1934,2013-01-17 03:30:00,294.0,1,1,29.0
3012,8996,1582,3732,2013-01-17 04:35:00,303.0,1,0,30.0
9014,8768,2585,1658,2013-01-17 05:21:00,154.0,1,0,15.0
9015,5899,2059,2402,2013-01-17 06:17:00,245.0,1,1,24.0
5986,5988,44,3154,2013-01-17 12:19:00,151.0,1,0,15.0
5987,3597,599,2768,2013-01-17 18:19:00,275.0,1,0,27.0
74,4872,391,2657,2013-01-17 18:28:00,285.0,1,0,28.0
75,323,447,1705,2013-01-17 20:11:00,230.0,1,1,23.0
5655,1012,1756,954,2013-01-17 20:30:00,160.0,1,1,16.0
76,272,329,2006,2013-01-17 21:44:00,198.0,1,1,19.0
5988,5229,2302,1840,2013-01-17 23:31:00,385.0,1,1,38.0
3015,152,1396,2521,2013-01-18 03:08:00,213.0,1,0,21.0
9016,6278,3107,3990,2013-01-18 03:18:00,1020.0,1,0,102.0
9018,4982,3595,1258,2013-01-18 03:33:00,272.0,1,0,27.0
3016,4015,1135,343,2013-01-18 12:01:00,320.0,1,0,32.0
9020,2867,2659,294,2013-01-18 16:19:00,222.0,1,0,22.0
5990,7141,261,585,2013-01-18 17:25:00,302.0,1,1,30.0
5991,5487,691,3981,2013-01-18 17:56:00,595.0,1,0,59.0
5992,4903,3041,4191,2013-01-18 18:15:00,585.0,1,0,58.0
3018,3792,3345,3935,2013-01-18 19:30:00,301.0,1,1,30.0
5993,7977,308,1523,2013-01-18 20:51:00,503.0,1,0,50.0
5657,6341,2833,2659,2013-01-19 00:23:00,140.0,1,1,14.0
9023,3269,2387,4169,2013-01-19 00:43:00,383.0,1,1,38.0
5994,2295,2916,406,2013-01-19 02:57:00,1374.0,1,1,137.0
3020,2295,2896,2506,2013-01-19 02:57:00,1374.0,1,0,137.0
82,2295,3500,2771,2013-01-19 02:57:00,1374.0,1,1,137.0
83,2625,1467,2347,2013-01-19 04:12:00,577.0,1,1,57.0
5995,4102,843,3809,2013-01-19 12:40:00,723.0,1,1,72.0
9024,4269,2291,4064,2013-01-19 15:37:00,288.0,1,0,28.0
9025,5311,2413,2977,2013-01-19 18:06:00,316.0,1,1,31.0
3024,2077,2375,4027,2013-01-19 18:37:00,574.0,1,1,57.0
9026,6345,2674,420,2013-01-19 20:58:00,897.0,1,1,89.0
8715,3349,2333,1918,2013-01-20 02:25:00,150.0,1,1,15.0
3027,5313,3212,1393,2013-01-20 06:46:00,228.0,1,0,22.0
5997,2424,12,1555,2013-01-20 09:35:00,358.0,1,0,35.0
5998,4935,1533,3646,2013-01-20 16:33:00,301.0,1,0,30.0
9029,1394,3488,2953,2013-01-20 18:25:00,559.0,1,0,55.0
9030,2685,924,1454,2013-01-20 19:43:00,360.0,1,0,36.0
3030,3219,924,1454,2013-01-21 00:04:00,533.0,1,0,53.0
3031,8244,2263,194,2013-01-21 00:08:00,184.0,1,0,18.0
9032,3732,2905,3267,2013-01-21 00:46:00,258.0,1,0,25.0
6001,3868,1328,1724,2013-01-21 07:58:00,329.0,1,0,32.0
3034,5856,2094,1100,2013-01-21 14:51:00,386.0,1,1,38.0
6002,4048,1536,4066,2013-01-21 14:58:00,145.0,1,0,14.0
91,898,3321,97,2013-01-21 18:13:00,256.0,1,0,25.0
92,2474,230,1620,2013-01-21 20:49:00,302.0,1,0,30.0
9038,7130,1359,2505,2013-01-21 21:33:00,535.0,1,0,53.0
9039,2335,2456,482,2013-01-21 22:18:00,306.0,1,0,30.0
94,4681,2905,2389,2013-01-21 23:52:00,510.0,1,0,51.0
9041,7428,1698,4320,2013-01-22 02:06:00,1010.0,1,1,101.0
9042,7947,2001,3236,2013-01-22 04:46:00,189.0,1,0,18.0
6005,3369,2568,1318,2013-01-22 11:04:00,557.0,1,0,55.0
3037,5864,1142,3940,2013-01-22 14:29:00,189.0,1,1,18.0
3038,6938,3085,4358,2013-01-22 14:56:00,711.0,1,0,71.0
6009,4661,2614,3631,2013-01-22 19:35:00,229.0,1,0,22.0
9045,8904,1853,3032,2013-01-22 20:02:00,189.0,1,0,18.0
9046,4889,2026,2450,2013-01-22 20:08:00,651.0,1,0,65.0
97,7838,1135,343,2013-01-22 21:41:00,260.0,1,0,26.0
9047,3129,1564,4102,2013-01-22 21:42:00,593.0,1,1,59.0
9048,8637,278,2988,2013-01-22 22:18:00,396.0,1,0,39.0
6012,6884,2701,3006,2013-01-23 01:41:00,175.0,1,0,17.0
9052,5353,1050,3050,2013-01-23 04:31:00,302.0,1,0,30.0
6013,2017,2702,4076,2013-01-23 05:46:00,415.0,1,0,41.0
9054,6630,257,3686,2013-01-23 22:02:00,209.0,1,0,20.0
99,584,3626,3722,2013-01-24 05:26:00,168.0,1,1,16.0
6019,6077,2799,4401,2013-01-24 09:50:00,250.0,1,1,25.0
5658,7350,855,208,2013-01-24 22:01:00,150.0,1,0,15.0
100,3840,2770,4216,2013-01-25 01:19:00,434.0,1,0,43.0
101,4177,422,3758,2013-01-25 01:36:00,449.0,1,0,44.0
6023,2105,2253,1449,2013-01-25 03:04:00,184.0,1,0,18.0
6024,3425,2036,2046,2013-01-25 05:41:00,290.0,1,0,29.0
103,2299,2032,142,2013-01-25 08:07:00,497.0,1,0,49.0
6026,6805,1152,1692,2013-01-25 17:11:00,398.0,1,0,39.0
6027,8740,732,2176,2013-01-25 18:28:00,606.0,1,0,60.0
6028,1554,1564,4102,2013-01-26 00:39:00,263.0,1,1,26.0
6029,535,1045,3901,2013-01-26 08:10:00,698.0,1,0,69.0
9061,4740,2466,2902,2013-01-26 09:44:00,895.0,1,0,89.0
6031,8970,2430,4357,2013-01-26 16:08:00,757.0,1,0,75.0
9063,827,1739,2249,2013-01-26 21:29:00,346.0,1,0,34.0
9065,5691,2660,3787,2013-01-27 11:14:00,542.0,1,0,54.0
3056,3840,2819,2361,2013-01-27 13:03:00,305.0,1,0,30.0
110,1468,52,1075,2013-01-27 15:38:00,439.0,1,0,43.0
6034,4474,1614,1408,2013-01-27 17:24:00,801.0,1,0,80.0
9068,6051,2566,1147,2013-01-27 18:50:00,554.0,1,0,55.0
3057,4597,477,1540,2013-01-27 19:29:00,286.0,1,0,28.0
115,2646,1276,2032,2013-01-27 22:59:00,400.0,1,0,40.0
3059,3690,782,804,2013-01-28 03:37:00,709.0,1,0,70.0
6037,2782,128,2063,2013-01-28 04:05:00,354.0,1,0,35.0
3060,8654,595,2584,2013-01-28 05:15:00,558.0,1,0,55.0
6038,152,996,1856,2013-01-28 06:59:00,167.0,1,1,16.0
116,3070,367,1712,2013-01-28 08:53:00,191.0,1,0,19.0
3062,6756,801,2451,2013-01-28 10:58:00,336.0,1,1,33.0
118,753,2551,3110,2013-01-28 14:39:00,531.0,1,0,53.0
9073,4622,733,2832,2013-01-28 17:26:00,166.0,1,1,16.0
3064,5563,2414,3026,2013-01-29 02:36:00,504.0,1,0,50.0
6041,7318,2467,260,2013-01-29 04:26:00,190.0,1,0,19.0
6042,2893,1412,487,2013-01-29 05:00:00,644.0,1,0,64.0
9075,2128,1135,343,2013-01-29 07:10:00,1057.0,1,0,105.0
9076,6292,2378,3777,2013-01-29 08:18:00,232.0,1,1,23.0
9077,5951,931,4368,2013-01-29 08:39:00,226.0,1,1,22.0
3066,7329,2069,188,2013-01-29 09:38:00,687.0,1,1,68.0
9078,7329,72,249,2013-01-29 09:45:00,408.0,1,1,40.0
9080,5276,2515,3863,2013-01-29 17:27:00,1170.0,1,0,117.0
6045,6966,1585,2212,2013-01-29 20:52:00,153.0,1,1,15.0
9081,5340,1407,1929,2013-01-29 23:12:00,849.0,1,0,84.0
129,6714,2905,3780,2013-01-30 00:32:00,415.0,1,0,41.0
9083,7324,2782,416,2013-01-30 04:25:00,765.0,1,1,76.0
6051,7348,1666,500,2013-01-30 07:22:00,204.0,1,0,20.0
9086,8612,1647,1082,2013-01-30 08:35:00,356.0,1,0,35.0
131,5837,2059,2402,2013-01-30 14:39:00,576.0,1,0,57.0
9087,6562,3278,928,2013-01-30 18:16:00,204.0,1,0,20.0
6052,4893,1311,1069,2013-01-30 18:34:00,349.0,1,1,34.0
8722,1669,1208,3772,2013-01-30 20:33:00,140.0,1,1,14.0
3073,3650,645,338,2013-01-30 22:50:00,175.0,1,0,17.0
6054,5483,709,2116,2013-01-30 23:46:00,684.0,1,0,68.0
134,7012,3274,3188,2013-01-31 02:07:00,384.0,1,0,38.0
9089,8879,44,2274,2013-01-31 06:46:00,258.0,1,1,25.0
2714,898,1276,2726,2013-01-31 09:38:00,160.0,1,1,16.0
3076,6876,1251,2033,2013-01-31 12:00:00,285.0,1,0,28.0
3077,8458,2139,437,2013-01-31 14:52:00,244.0,1,1,24.0
6058,2601,2059,2616,2013-01-31 16:18:00,321.0,1,0,32.0
135,6151,2612,383,2013-01-31 19:10:00,332.0,1,1,33.0
9090,6346,2026,2450,2013-01-31 20:47:00,591.0,1,0,59.0
6062,1480,49,1000,2013-01-31 23:18:00,239.0,1,1,23.0
9091,8112,1861,4201,2013-02-01 00:13:00,672.0,1,0,67.0
9092,8158,1050,3050,2013-02-01 03:27:00,469.0,1,0,46.0
137,4221,2021,548,2013-02-01 11:59:00,306.0,1,1,30.0
3080,5290,2663,3791,2013-02-01 12:49:00,249.0,1,0,24.0
9094,1201,3460,3248,2013-02-01 19:16:00,153.0,1,0,15.0
6063,8784,533,3719,2013-02-01 21:02:00,208.0,1,1,20.0
6064,7268,2445,2068,2013-02-01 21:38:00,195.0,1,0,19.0
9096,4004,3021,1610,2013-02-01 22:46:00,542.0,1,0,54.0
6065,22,179,701,2013-02-02 00:25:00,277.0,1,1,27.0
9097,2023,735,3851,2013-02-02 00:42:00,260.0,1,1,26.0
9098,7177,2069,188,2013-02-02 03:44:00,218.0,1,0,21.0
3082,1430,1683,716,2013-02-02 06:35:00,150.0,1,0,15.0
3083,33,3405,1203,2013-02-02 12:07:00,378.0,1,0,37.0
3085,533,2838,4366,2013-02-02 15:27:00,241.0,1,1,24.0
9100,4423,1824,4181,2013-02-02 17:49:00,305.0,1,0,30.0
9102,573,1046,2823,2013-02-02 19:20:00,577.0,1,0,57.0
9103,8814,1844,3020,2013-02-02 20:19:00,314.0,1,0,31.0
140,6992,3375,3734,2013-02-02 21:25:00,543.0,1,0,54.0
8725,5347,2774,3405,2013-02-02 21:51:00,150.0,1,1,15.0
3087,1526,142,1387,2013-02-03 00:29:00,386.0,1,0,38.0
3088,1867,652,3124,2013-02-03 00:35:00,254.0,1,0,25.0
3089,5442,970,2990,2013-02-03 04:28:00,689.0,1,0,68.0
3090,2279,1959,1335,2013-02-03 04:48:00,400.0,1,0,40.0
6070,1413,3660,642,2013-02-03 07:10:00,387.0,1,0,38.0
6071,3453,1738,3516,2013-02-03 08:00:00,306.0,1,1,30.0
9106,1606,1977,2622,2013-02-03 09:28:00,503.0,1,0,50.0
3092,3567,429,543,2013-02-03 17:12:00,197.0,1,1,19.0
3094,276,1741,2188,2013-02-03 17:39:00,318.0,1,0,31.0
9109,1926,549,3618,2013-02-03 19:41:00,662.0,1,0,66.0
6072,4529,2408,2890,2013-02-03 22:55:00,785.0,1,0,78.0
6073,5048,430,3336,2013-02-04 01:28:00,525.0,1,0,52.0
142,7884,1677,3287,2013-02-04 04:42:00,368.0,1,0,36.0
3096,3132,3496,2732,2013-02-04 08:57:00,333.0,1,0,33.0
3097,8364,3002,4096,2013-02-04 10:08:00,1032.0,1,0,103.0
144,2635,2654,1962,2013-02-04 19:13:00,272.0,1,0,27.0
5660,7689,2794,2154,2013-02-04 22:14:00,140.0,1,1,14.0
6075,759,2322,3141,2013-02-04 22:51:00,311.0,1,1,31.0
145,8606,1021,4336,2013-02-04 23:11:00,404.0,1,1,40.0
9111,2063,3143,1898,2013-02-04 23:50:00,289.0,1,0,28.0
6076,3383,463,4317,2013-02-05 01:03:00,254.0,1,0,25.0
9113,5281,18,809,2013-02-05 02:53:00,323.0,1,1,32.0
6078,6036,1872,3305,2013-02-05 15:59:00,430.0,1,1,43.0
3100,4763,259,165,2013-02-05 16:20:00,178.0,1,1,17.0
148,3166,3235,3448,2013-02-05 16:43:00,140.0,1,1,14.0
9116,333,1485,3877,2013-02-05 17:31:00,325.0,1,1,32.0
9117,8530,1626,2220,2013-02-05 20:26:00,418.0,1,1,41.0
8727,5590,2789,1096,2013-02-05 20:59:00,150.0,1,1,15.0
9119,8796,509,4443,2013-02-05 21:25:00,455.0,1,0,45.0
3102,7629,109,715,2013-02-05 21:58:00,312.0,1,0,31.0
3104,5727,582,1180,2013-02-06 00:52:00,237.0,1,0,23.0
6080,6206,130,70,2013-02-06 06:35:00,306.0,1,1,30.0
9122,8423,2217,4260,2013-02-06 13:25:00,176.0,1,0,17.0
151,4480,673,3944,2013-02-06 14:13:00,736.0,1,0,73.0
6082,6015,2819,2361,2013-02-06 15:03:00,289.0,1,0,28.0
6084,7474,3060,418,2013-02-06 19:25:00,304.0,1,0,30.0
5661,3319,2302,1840,2013-02-06 20:18:00,160.0,1,1,16.0
3107,4744,2191,3626,2013-02-07 05:38:00,191.0,1,0,19.0
157,4275,2441,179,2013-02-07 21:11:00,249.0,1,1,24.0
158,2388,2571,1710,2013-02-07 22:01:00,160.0,1,0,16.0
3109,7326,3413,245,2013-02-08 02:00:00,256.0,1,0,25.0
9128,5354,2775,922,2013-02-08 03:26:00,182.0,1,0,18.0
9129,385,2152,1125,2013-02-08 05:06:00,210.0,1,0,21.0
3112,1368,103,95,2013-02-08 16:43:00,1319.0,1,0,131.0
3113,502,251,3763,2013-02-08 19:08:00,210.0,1,0,21.0
6092,5124,1112,2567,2013-02-08 21:38:00,291.0,1,0,29.0
3115,4009,563,2180,2013-02-08 23:14:00,328.0,1,0,32.0
6094,1894,1697,4255,2013-02-09 13:03:00,275.0,1,1,27.0
3116,1667,2419,1102,2013-02-09 13:16:00,199.0,1,1,19.0
6099,1956,1123,1119,2013-02-09 20:33:00,697.0,1,1,69.0
169,8975,2905,2389,2013-02-09 20:39:00,493.0,1,1,49.0
9134,2887,1783,2513,2013-02-09 20:44:00,198.0,1,0,19.0
170,8096,847,1518,2013-02-09 22:19:00,317.0,1,0,31.0
171,5865,617,1717,2013-02-09 23:08:00,341.0,1,1,34.0
6102,4999,2059,2616,2013-02-10 02:35:00,329.0,1,1,32.0
9136,5611,142,2275,2013-02-10 04:47:00,462.0,1,0,46.0
9137,7369,2660,3787,2013-02-10 08:43:00,1020.0,1,0,102.0
6104,3345,3151,3159,2013-02-10 08:58:00,203.0,1,1,20.0
6105,3758,2963,3347,2013-02-10 17:03:00,178.0,1,1,17.0
3122,2982,3595,1258,2013-02-10 21:43:00,828.0,1,1,82.0
3123,405,1843,1538,2013-02-10 22:33:00,226.0,1,0,22.0
3124,7945,2781,3392,2013-02-10 23:20:00,701.0,1,0,70.0
175,4059,2151,2053,2013-02-11 00:13:00,408.0,1,0,40.0
6108,4707,1112,2567,2013-02-11 01:17:00,568.0,1,0,56.0
6109,4620,256,1958,2013-02-11 03:20:00,146.0,1,1,14.0
3125,842,702,1470,2013-02-11 06:20:00,327.0,1,0,32.0
9142,8367,1152,1692,2013-02-11 06:43:00,196.0,1,0,19.0
9143,4252,429,704,2013-02-11 07:04:00,213.0,1,0,21.0
177,1763,2393,1920,2013-02-11 09:51:00,391.0,1,1,39.0
9144,5824,1576,3045,2013-02-11 16:53:00,515.0,1,1,51.0
178,2600,2514,1922,2013-02-11 17:51:00,230.0,1,0,23.0
9145,7389,2571,1710,2013-02-11 18:05:00,197.0,1,0,19.0
9146,8451,265,1998,2013-02-11 18:28:00,453.0,1,0,45.0
9148,4624,2147,2137,2013-02-11 19:01:00,365.0,1,1,36.0
6111,1280,2669,1917,2013-02-11 20:55:00,193.0,1,0,19.0
3127,3665,1045,3901,2013-02-11 23:47:00,198.0,1,1,19.0
182,5465,365,1483,2013-02-12 09:24:00,325.0,1,0,32.0
3129,5587,2703,3312,2013-02-12 15:22:00,588.0,1,1,58.0
183,3986,2036,2046,2013-02-12 15:59:00,354.0,1,0,35.0
184,8249,3379,2421,2013-02-12 17:09:00,492.0,1,0,49.0
6112,2975,998,3366,2013-02-12 19:38:00,355.0,1,1,35.0
9154,7567,1589,1956,2013-02-12 20:25:00,384.0,1,0,38.0
6113,4755,3395,3029,2013-02-12 22:28:00,169.0,1,0,16.0
187,5986,1180,3011,2013-02-12 22:31:00,505.0,1,1,50.0
6114,6559,1268,3939,2013-02-13 00:50:00,279.0,1,0,27.0
6116,5555,552,98,2013-02-13 02:46:00,244.0,1,0,24.0
6117,2780,1622,2375,2013-02-13 03:51:00,810.0,1,0,81.0
3130,7694,977,22,2013-02-13 04:26:00,560.0,1,1,56.0
6120,5478,175,3662,2013-02-13 11:10:00,412.0,1,1,41.0
3131,3620,220,3228,2013-02-13 18:33:00,394.0,1,0,39.0
188,6939,2760,1245,2013-02-13 18:48:00,236.0,1,0,23.0
6123,400,1484,340,2013-02-13 19:40:00,690.0,1,1,69.0
189,2046,2669,1917,2013-02-13 19:59:00,1534.0,1,0,153.0
190,1992,3462,3244,2013-02-13 20:08:00,249.0,1,0,24.0
191,4036,2665,3997,2013-02-13 20:52:00,309.0,1,0,30.0
3132,4604,2094,1100,2013-02-13 23:55:00,142.0,1,1,14.0
3133,7719,120,2272,2013-02-14 00:01:00,194.0,1,0,19.0
3134,3270,1276,1827,2013-02-14 00:48:00,471.0,1,1,47.0
9158,2451,1209,1873,2013-02-14 03:10:00,528.0,1,1,52.0
6125,450,595,2584,2013-02-14 05:39:00,146.0,1,0,14.0
3136,4896,1460,254,2013-02-14 07:21:00,1000.0,1,1,100.0
3137,919,3189,1967,2013-02-14 08:04:00,252.0,1,1,25.0
3138,5779,3642,2328,2013-02-14 11:07:00,308.0,1,0,30.0
195,3511,1123,1119,2013-02-14 17:28:00,363.0,1,0,36.0
196,7584,2075,1485,2013-02-14 18:12:00,234.0,1,0,23.0
3140,879,265,1998,2013-02-14 19:24:00,440.0,1,0,44.0
198,2124,52,2257,2013-02-14 20:10:00,285.0,1,1,28.0
9162,4381,52,2257,2013-02-14 22:04:00,195.0,1,0,19.0
9163,2889,1817,3013,2013-02-14 22:46:00,558.0,1,0,55.0
199,7798,126,578,2013-02-15 00:13:00,239.0,1,0,23.0
3143,6390,1291,2309,2013-02-15 01:48:00,183.0,1,0,18.0
3144,1307,1294,939,2013-02-15 02:12:00,204.0,1,1,20.0
9164,3811,2328,1137,2013-02-15 04:11:00,472.0,1,0,47.0
6128,5850,2147,2137,2013-02-15 07:43:00,425.0,1,0,42.0
200,8461,468,952,2013-02-15 08:04:00,384.0,1,1,38.0
