,ab,acceptance,id_guest,id_host,id_listing,m_first_message_length,message_length_level,ts_interaction_first,week_of_year,month,day_of_week
9418,1,Treatment 1,3391,896,4152,570.0,625.0,2013-03-25 22:22:00,13,3,0
3394,1,Treatment 0,8724,2812,1616,266.0,220.0,2013-03-25 22:35:00,13,3,0
8750,1,Treatment 0,4793,3000,2072,140.0,140.0,2013-03-25 22:51:00,13,3,0
462,1,Treatment 1,7850,30,238,202.0,220.0,2013-03-25 23:59:00,13,3,0
6366,0,Control 0,1455,1444,1872,401.0,400.0,2013-03-26 01:57:00,13,3,1
6367,1,Treatment 1,4226,3486,1647,177.0,220.0,2013-03-26 02:12:00,13,3,1
463,0,Control 0,644,94,1355,187.0,220.0,2013-03-26 03:32:00,13,3,1
2733,0,Control 1,2182,1810,3390,0.0,0.0,2013-03-26 03:36:00,13,3,1
464,1,Treatment 1,6181,766,3131,527.0,625.0,2013-03-26 04:02:00,13,3,1
465,0,Control 0,4979,142,2275,216.0,220.0,2013-03-26 04:36:00,13,3,1
6370,0,Control 0,2648,1217,1944,311.0,400.0,2013-03-26 06:37:00,13,3,1
6371,1,Treatment 0,1572,1329,2896,747.0,625.0,2013-03-26 07:12:00,13,3,1
466,1,Treatment 0,6886,2346,2011,517.0,625.0,2013-03-26 07:12:00,13,3,1
3397,0,Control 0,4851,779,3717,931.0,875.0,2013-03-26 07:30:00,13,3,1
9419,0,Control 1,2833,3243,1803,177.0,220.0,2013-03-26 09:09:00,13,3,1
6372,0,Control 0,1369,1481,2300,336.0,400.0,2013-03-26 10:12:00,13,3,1
8751,0,Control 1,7312,365,1483,0.0,0.0,2013-03-26 10:20:00,13,3,1
467,0,Control 0,241,52,1791,165.0,220.0,2013-03-26 10:55:00,13,3,1
3398,1,Treatment 1,7240,2475,719,172.0,220.0,2013-03-26 12:12:00,13,3,1
468,0,Control 1,562,374,3972,314.0,400.0,2013-03-26 12:26:00,13,3,1
3399,0,Control 0,5744,3262,1177,804.0,875.0,2013-03-26 13:05:00,13,3,1
2734,0,Control 0,212,1326,4396,0.0,0.0,2013-03-26 13:13:00,13,3,1
6374,1,Treatment 1,7121,50,1626,551.0,625.0,2013-03-26 14:12:00,13,3,1
6375,1,Treatment 0,5460,2357,2607,154.0,220.0,2013-03-26 14:17:00,13,3,1
6376,1,Treatment 0,510,2219,412,140.0,140.0,2013-03-26 15:07:00,13,3,1
469,1,Treatment 0,7032,2874,3730,224.0,220.0,2013-03-26 15:28:00,13,3,1
6377,1,Treatment 1,6219,259,165,687.0,625.0,2013-03-26 15:43:00,13,3,1
9420,1,Treatment 1,413,2714,3155,366.0,400.0,2013-03-26 17:06:00,13,3,1
6378,1,Treatment 0,4110,256,1958,268.0,220.0,2013-03-26 18:30:00,13,3,1
6380,1,Treatment 0,4435,1050,2031,379.0,400.0,2013-03-26 21:38:00,13,3,1
9422,0,Control 0,8482,1309,1489,409.0,400.0,2013-03-26 21:56:00,13,3,1
9421,0,Control 0,5476,3490,11,176.0,220.0,2013-03-26 21:56:00,13,3,1
8753,0,Control 1,2682,778,258,0.0,-50.0,2013-03-26 22:58:00,13,3,1
3401,0,Control 0,3851,2915,3217,1173.0,1500.0,2013-03-26 23:00:00,13,3,1
470,0,Control 0,1267,1666,500,379.0,400.0,2013-03-27 00:07:00,13,3,2
9423,1,Treatment 0,1423,1372,821,207.0,220.0,2013-03-27 00:26:00,13,3,2
471,1,Treatment 0,6371,2741,1989,421.0,400.0,2013-03-27 01:04:00,13,3,2
472,1,Treatment 1,705,1759,853,376.0,400.0,2013-03-27 01:43:00,13,3,2
9424,0,Control 0,4855,2306,1800,391.0,400.0,2013-03-27 01:52:00,13,3,2
5683,0,Control 1,1617,189,1583,0.0,0.0,2013-03-27 02:56:00,13,3,2
3403,1,Treatment 0,572,703,1676,381.0,400.0,2013-03-27 03:16:00,13,3,2
474,1,Treatment 0,2406,259,165,142.0,140.0,2013-03-27 04:42:00,13,3,2
9426,0,Control 0,5738,356,2767,323.0,400.0,2013-03-27 06:17:00,13,3,2
476,1,Treatment 1,5435,2850,2585,225.0,220.0,2013-03-27 07:25:00,13,3,2
6382,1,Treatment 0,1622,1527,4307,676.0,625.0,2013-03-27 08:53:00,13,3,2
6383,0,Control 0,6991,3519,62,339.0,400.0,2013-03-27 10:06:00,13,3,2
6384,1,Treatment 0,2359,896,4152,798.0,875.0,2013-03-27 13:14:00,13,3,2
478,1,Treatment 0,1511,423,2997,252.0,220.0,2013-03-27 13:43:00,13,3,2
3404,0,Control 0,3668,220,3228,282.0,220.0,2013-03-27 14:20:00,13,3,2
479,0,Control 0,5388,2075,4381,278.0,220.0,2013-03-27 16:11:00,13,3,2
6385,1,Treatment 0,7729,3248,363,489.0,400.0,2013-03-27 16:39:00,13,3,2
480,1,Treatment 1,5643,1276,4111,298.0,220.0,2013-03-27 16:54:00,13,3,2
5684,1,Treatment 0,7900,2971,4236,150.0,220.0,2013-03-27 17:40:00,13,3,2
481,0,Control 0,692,1552,3226,133.0,70.0,2013-03-27 18:19:00,13,3,2
3405,0,Control 0,3514,1179,2666,233.0,220.0,2013-03-27 18:53:00,13,3,2
9429,0,Control 0,7316,1532,3613,106.0,70.0,2013-03-27 20:05:00,13,3,2
6386,1,Treatment 0,6253,3574,1852,314.0,400.0,2013-03-27 20:23:00,13,3,2
482,0,Control 0,1319,3290,3294,303.0,400.0,2013-03-27 21:34:00,13,3,2
483,1,Treatment 0,807,262,836,172.0,220.0,2013-03-27 21:47:00,13,3,2
9431,0,Control 1,8298,2212,1327,155.0,220.0,2013-03-27 21:51:00,13,3,2
485,0,Control 1,470,3626,3722,30.0,70.0,2013-03-27 22:20:00,13,3,2
3406,0,Control 0,2188,2114,354,381.0,400.0,2013-03-27 23:44:00,13,3,2
9432,0,Control 1,4109,1102,3506,125.0,70.0,2013-03-28 01:20:00,13,3,3
486,0,Control 1,4195,1057,3571,69.0,70.0,2013-03-28 01:30:00,13,3,3
9433,0,Control 1,5402,2059,2616,119.0,70.0,2013-03-28 01:51:00,13,3,3
6387,0,Control 0,7126,1872,3305,387.0,400.0,2013-03-28 02:05:00,13,3,3
3407,1,Treatment 0,4136,2292,1421,174.0,220.0,2013-03-28 02:46:00,13,3,3
3408,1,Treatment 1,5212,280,4189,447.0,400.0,2013-03-28 03:29:00,13,3,3
488,0,Control 0,7556,2729,3857,301.0,400.0,2013-03-28 04:11:00,13,3,3
3409,1,Treatment 0,354,3533,401,213.0,220.0,2013-03-28 04:42:00,13,3,3
489,0,Control 1,1897,2572,2286,219.0,220.0,2013-03-28 05:02:00,13,3,3
490,0,Control 0,7323,2358,2252,404.0,400.0,2013-03-28 05:49:00,13,3,3
491,0,Control 0,5149,2409,1990,321.0,400.0,2013-03-28 06:28:00,13,3,3
6389,1,Treatment 0,8690,417,3139,376.0,400.0,2013-03-28 10:10:00,13,3,3
3410,0,Control 1,485,2456,253,245.0,220.0,2013-03-28 14:27:00,13,3,3
9434,0,Control 0,6943,1335,4404,319.0,400.0,2013-03-28 14:41:00,13,3,3
492,1,Treatment 1,558,733,1363,326.0,400.0,2013-03-28 15:45:00,13,3,3
3412,0,Control 1,2796,1583,3214,146.0,220.0,2013-03-28 16:35:00,13,3,3
6391,1,Treatment 1,5971,1485,3877,271.0,220.0,2013-03-28 16:37:00,13,3,3
3414,0,Control 0,8624,3515,2235,267.0,220.0,2013-03-28 16:42:00,13,3,3
6394,0,Control 0,2367,1191,4290,106.0,70.0,2013-03-28 18:52:00,13,3,3
493,0,Control 1,8738,2279,3775,223.0,220.0,2013-03-28 19:23:00,13,3,3
494,0,Control 0,8961,263,3988,608.0,625.0,2013-03-28 21:20:00,13,3,3
9435,0,Control 0,4210,2328,1137,408.0,400.0,2013-03-28 21:22:00,13,3,3
495,0,Control 1,5882,106,2833,150.0,220.0,2013-03-28 21:54:00,13,3,3
6395,1,Treatment 1,307,1970,1051,152.0,220.0,2013-03-28 22:05:00,13,3,3
6396,1,Treatment 0,4223,2191,144,142.0,140.0,2013-03-28 23:18:00,13,3,3
9436,0,Control 0,5103,3011,2170,921.0,875.0,2013-03-28 23:46:00,13,3,3
496,1,Treatment 0,2314,3554,720,582.0,625.0,2013-03-29 00:35:00,13,3,4
6397,0,Control 1,619,98,4363,259.0,220.0,2013-03-29 01:43:00,13,3,4
6398,0,Control 1,597,1722,1539,172.0,220.0,2013-03-29 02:09:00,13,3,4
6399,1,Treatment 0,2604,3109,452,220.0,220.0,2013-03-29 03:18:00,13,3,4
3415,0,Control 0,3253,3652,2532,26.0,70.0,2013-03-29 03:28:00,13,3,4
3416,0,Control 0,2357,728,1134,457.0,400.0,2013-03-29 03:34:00,13,3,4
3417,0,Control 0,818,1376,3144,324.0,400.0,2013-03-29 04:08:00,13,3,4
6401,1,Treatment 1,91,360,648,400.0,400.0,2013-03-29 04:17:00,13,3,4
6403,0,Control 0,538,1407,1929,61.0,70.0,2013-03-29 05:01:00,13,3,4
6404,1,Treatment 0,3066,1636,2914,184.0,220.0,2013-03-29 09:28:00,13,3,4
6405,0,Control 1,7761,1725,2485,421.0,400.0,2013-03-29 10:50:00,13,3,4
9438,0,Control 1,2497,2603,3003,501.0,625.0,2013-03-29 11:32:00,13,3,4
498,1,Treatment 0,1496,1135,343,1684.0,1500.0,2013-03-29 12:42:00,13,3,4
9439,0,Control 0,2338,1047,1334,347.0,400.0,2013-03-29 13:54:00,13,3,4
499,1,Treatment 0,8019,2904,1048,446.0,400.0,2013-03-29 14:50:00,13,3,4
6406,0,Control 1,5714,1634,4135,93.0,70.0,2013-03-29 16:29:00,13,3,4
3419,1,Treatment 0,293,1625,539,623.0,625.0,2013-03-29 16:58:00,13,3,4
9440,0,Control 0,7681,732,2176,63.0,70.0,2013-03-29 17:08:00,13,3,4
6407,0,Control 0,8227,736,3254,597.0,625.0,2013-03-29 18:57:00,13,3,4
5685,1,Treatment 1,5231,2088,1478,150.0,220.0,2013-03-29 19:09:00,13,3,4
9441,1,Treatment 0,4565,1739,2249,531.0,625.0,2013-03-29 19:12:00,13,3,4
3420,0,Control 0,4623,3137,3298,699.0,625.0,2013-03-29 19:51:00,13,3,4
501,1,Treatment 1,7154,996,1856,574.0,625.0,2013-03-29 20:48:00,13,3,4
6408,0,Control 0,1270,2952,3588,339.0,400.0,2013-03-29 22:48:00,13,3,4
3421,0,Control 0,7309,3153,536,118.0,70.0,2013-03-29 22:49:00,13,3,4
8754,0,Control 0,5784,1363,1491,0.0,0.0,2013-03-29 23:08:00,13,3,4
9442,1,Treatment 0,4761,2170,1815,148.0,220.0,2013-03-29 23:20:00,13,3,4
9443,0,Control 0,4214,1238,1552,283.0,220.0,2013-03-30 00:02:00,13,3,5
6409,1,Treatment 0,7014,2845,589,464.0,400.0,2013-03-30 01:13:00,13,3,5
502,0,Control 1,741,1495,3584,453.0,400.0,2013-03-30 01:20:00,13,3,5
503,0,Control 1,153,3606,712,344.0,400.0,2013-03-30 01:40:00,13,3,5
3422,0,Control 0,3609,18,809,318.0,400.0,2013-03-30 02:27:00,13,3,5
6410,1,Treatment 0,7635,3660,642,364.0,400.0,2013-03-30 03:00:00,13,3,5
6411,0,Control 1,2360,3389,1522,754.0,875.0,2013-03-30 12:15:00,13,3,5
9444,0,Control 0,6002,3402,3331,514.0,625.0,2013-03-30 13:57:00,13,3,5
504,1,Treatment 0,1769,2102,21,668.0,625.0,2013-03-30 17:55:00,13,3,5
9445,1,Treatment 0,8873,142,2687,245.0,220.0,2013-03-30 17:58:00,13,3,5
3423,1,Treatment 1,5911,1707,2009,141.0,140.0,2013-03-30 20:00:00,13,3,5
9446,0,Control 0,9012,2604,3684,173.0,220.0,2013-03-30 21:14:00,13,3,5
9448,1,Treatment 1,646,2024,2287,390.0,400.0,2013-03-30 21:40:00,13,3,5
506,1,Treatment 0,3450,1515,3914,511.0,625.0,2013-03-30 22:52:00,13,3,5
507,1,Treatment 0,8126,1674,248,695.0,625.0,2013-03-30 23:15:00,13,3,5
508,1,Treatment 0,5482,226,1398,567.0,625.0,2013-03-31 01:23:00,13,3,6
510,1,Treatment 0,1447,316,2303,773.0,875.0,2013-03-31 02:10:00,13,3,6
511,1,Treatment 0,5163,2896,2506,446.0,400.0,2013-03-31 03:16:00,13,3,6
6412,0,Control 1,3002,1763,3650,190.0,220.0,2013-03-31 04:00:00,13,3,6
512,1,Treatment 0,6570,1914,506,194.0,220.0,2013-03-31 04:40:00,13,3,6
8756,0,Control 1,6802,1763,3650,0.0,0.0,2013-03-31 05:28:00,13,3,6
9450,0,Control 1,8918,977,22,92.0,70.0,2013-03-31 13:01:00,13,3,6
9451,1,Treatment 1,2479,2403,3044,187.0,220.0,2013-03-31 15:26:00,13,3,6
9452,0,Control 1,7176,1794,4142,186.0,220.0,2013-03-31 15:36:00,13,3,6
9453,1,Treatment 0,3655,2466,2902,510.0,625.0,2013-03-31 17:07:00,13,3,6
6413,0,Control 0,5423,1306,772,45.0,70.0,2013-03-31 17:12:00,13,3,6
513,0,Control 0,7890,1038,771,191.0,220.0,2013-03-31 17:39:00,13,3,6
6414,1,Treatment 1,2785,2438,157,224.0,220.0,2013-03-31 18:10:00,13,3,6
514,0,Control 1,2920,2572,2286,243.0,220.0,2013-03-31 19:38:00,13,3,6
6415,0,Control 0,7692,3213,3532,245.0,220.0,2013-03-31 19:52:00,13,3,6
515,0,Control 0,1733,347,494,76.0,70.0,2013-03-31 20:22:00,13,3,6
8757,0,Control 0,532,2237,3306,0.0,0.0,2013-03-31 20:47:00,13,3,6
3424,0,Control 0,708,2789,1096,165.0,220.0,2013-03-31 20:53:00,13,3,6
6416,1,Treatment 1,7299,996,3908,526.0,625.0,2013-03-31 22:02:00,13,3,6
9454,0,Control 1,5132,1856,2124,472.0,400.0,2013-03-31 22:49:00,13,3,6
5686,0,Control 0,4268,2333,1918,0.0,0.0,2013-03-31 22:59:00,13,3,6
8758,1,Treatment 1,8371,2481,2764,160.0,220.0,2013-04-01 00:41:00,14,4,0
2735,0,Control 1,5542,3586,1742,0.0,0.0,2013-04-01 00:57:00,14,4,0
9455,1,Treatment 0,953,779,3717,665.0,625.0,2013-04-01 00:57:00,14,4,0
3426,1,Treatment 0,3068,2812,1616,254.0,220.0,2013-04-01 01:55:00,14,4,0
6417,1,Treatment 1,565,3363,1154,265.0,220.0,2013-04-01 02:03:00,14,4,0
9456,0,Control 0,6,2093,4143,336.0,400.0,2013-04-01 02:21:00,14,4,0
9457,1,Treatment 1,2488,3479,1727,312.0,400.0,2013-04-01 05:41:00,14,4,0
8759,1,Treatment 1,6099,678,4369,150.0,220.0,2013-04-01 10:11:00,14,4,0
517,0,Control 0,8761,3490,11,1731.0,1500.0,2013-04-01 10:11:00,14,4,0
6418,0,Control 0,3273,3606,712,199.0,220.0,2013-04-01 13:33:00,14,4,0
3427,0,Control 1,5772,2963,3347,807.0,875.0,2013-04-01 13:45:00,14,4,0
6419,0,Control 0,271,2191,3626,262.0,220.0,2013-04-01 14:24:00,14,4,0
6420,0,Control 1,2992,2101,3384,410.0,400.0,2013-04-01 14:54:00,14,4,0
6421,0,Control 0,2757,1244,2871,476.0,400.0,2013-04-01 15:03:00,14,4,0
9458,0,Control 0,6482,3665,3309,205.0,220.0,2013-04-01 15:03:00,14,4,0
518,1,Treatment 1,5034,2841,361,379.0,400.0,2013-04-01 15:18:00,14,4,0
519,0,Control 1,1559,735,3851,717.0,625.0,2013-04-01 15:32:00,14,4,0
6422,1,Treatment 0,7025,3263,4131,716.0,625.0,2013-04-01 15:33:00,14,4,0
520,1,Treatment 0,6031,805,3125,361.0,400.0,2013-04-01 15:35:00,14,4,0
6423,0,Control 0,5073,1434,3926,120.0,70.0,2013-04-01 16:00:00,14,4,0
5688,1,Treatment 1,2168,1674,248,140.0,140.0,2013-04-01 16:04:00,14,4,0
6424,0,Control 1,7870,2206,2329,743.0,625.0,2013-04-01 16:54:00,14,4,0
9460,1,Treatment 0,3929,3028,2412,517.0,625.0,2013-04-01 17:53:00,14,4,0
6425,1,Treatment 1,8906,3281,3811,792.0,875.0,2013-04-01 17:55:00,14,4,0
6426,1,Treatment 1,8949,2344,2987,430.0,400.0,2013-04-01 18:20:00,14,4,0
6427,1,Treatment 0,1506,2448,2216,422.0,400.0,2013-04-01 18:26:00,14,4,0
6428,0,Control 0,5722,18,809,124.0,70.0,2013-04-01 18:50:00,14,4,0
6429,0,Control 0,8211,541,3928,133.0,70.0,2013-04-01 19:08:00,14,4,0
3430,0,Control 0,3317,2130,204,714.0,625.0,2013-04-01 19:28:00,14,4,0
3431,0,Control 1,6079,13,2269,168.0,220.0,2013-04-01 20:05:00,14,4,0
6430,0,Control 0,6629,2357,2607,451.0,400.0,2013-04-01 20:25:00,14,4,0
3432,1,Treatment 0,2960,404,643,709.0,625.0,2013-04-01 20:28:00,14,4,0
523,1,Treatment 0,7471,731,3880,249.0,220.0,2013-04-01 21:12:00,14,4,0
6431,1,Treatment 1,2534,1276,4448,355.0,400.0,2013-04-01 21:17:00,14,4,0
3433,1,Treatment 0,3908,724,317,407.0,400.0,2013-04-01 21:25:00,14,4,0
3434,0,Control 1,1892,3288,3117,412.0,400.0,2013-04-01 22:25:00,14,4,0
6432,1,Treatment 0,3900,3008,2386,316.0,400.0,2013-04-01 22:37:00,14,4,0
525,0,Control 0,6100,3082,882,196.0,220.0,2013-04-01 22:43:00,14,4,0
6433,0,Control 1,2753,3537,454,552.0,625.0,2013-04-01 23:05:00,14,4,0
3435,0,Control 0,4552,1899,1559,353.0,400.0,2013-04-01 23:33:00,14,4,0
526,0,Control 1,4957,1998,1415,267.0,220.0,2013-04-02 00:11:00,14,4,1
3436,1,Treatment 1,8266,3138,2762,308.0,400.0,2013-04-02 00:17:00,14,4,1
3437,0,Control 0,542,1966,2330,602.0,625.0,2013-04-02 00:18:00,14,4,1
527,0,Control 0,1895,2575,3582,129.0,70.0,2013-04-02 00:21:00,14,4,1
528,0,Control 1,6461,3064,801,1690.0,1500.0,2013-04-02 01:14:00,14,4,1
3438,0,Control 0,2296,1636,2914,407.0,400.0,2013-04-02 01:33:00,14,4,1
9461,0,Control 0,2918,1336,501,407.0,400.0,2013-04-02 01:58:00,14,4,1
3439,1,Treatment 1,6114,2041,3232,402.0,400.0,2013-04-02 02:33:00,14,4,1
9462,0,Control 1,664,1467,2347,662.0,625.0,2013-04-02 03:20:00,14,4,1
3440,1,Treatment 0,1969,3254,1191,503.0,625.0,2013-04-02 03:26:00,14,4,1
3441,1,Treatment 0,2395,2143,2761,245.0,220.0,2013-04-02 04:14:00,14,4,1
6434,0,Control 0,208,142,1689,320.0,400.0,2013-04-02 05:23:00,14,4,1
3442,1,Treatment 1,6417,44,714,176.0,220.0,2013-04-02 05:51:00,14,4,1
9464,0,Control 0,1058,3490,11,440.0,400.0,2013-04-02 06:08:00,14,4,1
9465,0,Control 1,5862,1294,939,239.0,220.0,2013-04-02 09:48:00,14,4,1
529,0,Control 0,7256,964,3193,446.0,400.0,2013-04-02 12:39:00,14,4,1
9467,1,Treatment 0,8596,3163,1786,948.0,875.0,2013-04-02 14:47:00,14,4,1
530,0,Control 0,914,802,1679,584.0,625.0,2013-04-02 14:47:00,14,4,1
531,0,Control 0,690,2894,4422,279.0,220.0,2013-04-02 14:57:00,14,4,1
532,1,Treatment 0,8433,3164,3223,588.0,625.0,2013-04-02 15:39:00,14,4,1
9468,1,Treatment 0,7201,1461,1356,262.0,220.0,2013-04-02 16:55:00,14,4,1
9470,0,Control 1,517,75,1528,341.0,400.0,2013-04-02 17:17:00,14,4,1
534,1,Treatment 0,9084,2707,3023,308.0,400.0,2013-04-02 17:39:00,14,4,1
9471,0,Control 0,3985,1043,2184,741.0,625.0,2013-04-02 17:44:00,14,4,1
3444,0,Control 0,1945,3652,2532,293.0,220.0,2013-04-02 17:56:00,14,4,1
535,1,Treatment 1,8163,651,1042,424.0,400.0,2013-04-02 18:07:00,14,4,1
3445,0,Control 0,6467,1674,248,420.0,400.0,2013-04-02 19:36:00,14,4,1
536,0,Control 1,168,1624,1362,218.0,220.0,2013-04-02 20:50:00,14,4,1
8760,0,Control 1,7760,2905,2389,0.0,-50.0,2013-04-02 20:51:00,14,4,1
9473,0,Control 0,2869,1636,2914,532.0,625.0,2013-04-02 21:03:00,14,4,1
3446,0,Control 0,2453,1878,829,199.0,220.0,2013-04-02 21:36:00,14,4,1
9474,0,Control 0,7357,2321,1107,328.0,400.0,2013-04-02 23:09:00,14,4,1
3447,0,Control 0,9007,2845,589,271.0,220.0,2013-04-02 23:10:00,14,4,1
9475,0,Control 0,5985,3057,3453,328.0,400.0,2013-04-03 00:09:00,14,4,2
9476,1,Treatment 1,8980,1276,3147,682.0,625.0,2013-04-03 00:35:00,14,4,2
9477,1,Treatment 1,4741,952,2870,219.0,220.0,2013-04-03 00:46:00,14,4,2
3448,1,Treatment 0,4548,3251,1733,355.0,400.0,2013-04-03 01:15:00,14,4,2
6435,0,Control 0,8875,2074,1425,280.0,220.0,2013-04-03 01:39:00,14,4,2
3449,0,Control 0,8942,2988,3161,428.0,400.0,2013-04-03 02:58:00,14,4,2
6437,0,Control 0,6540,2747,1175,915.0,875.0,2013-04-03 03:51:00,14,4,2
6438,0,Control 1,1816,2220,2900,110.0,70.0,2013-04-03 03:54:00,14,4,2
539,1,Treatment 1,1436,2664,3998,233.0,220.0,2013-04-03 05:35:00,14,4,2
5689,0,Control 1,7438,3420,2901,0.0,0.0,2013-04-03 06:26:00,14,4,2
3450,0,Control 0,7016,1651,3627,201.0,220.0,2013-04-03 08:13:00,14,4,2
9480,0,Control 1,6585,1253,1471,133.0,70.0,2013-04-03 14:22:00,14,4,2
6439,0,Control 1,1849,996,3908,31.0,70.0,2013-04-03 15:08:00,14,4,2
5690,0,Control 1,5046,424,1843,0.0,0.0,2013-04-03 16:31:00,14,4,2
3451,0,Control 0,4100,1622,820,593.0,625.0,2013-04-03 17:01:00,14,4,2
3452,1,Treatment 0,1597,1892,1976,257.0,220.0,2013-04-03 17:11:00,14,4,2
8761,1,Treatment 1,2910,3399,3126,140.0,140.0,2013-04-03 17:14:00,14,4,2
3453,1,Treatment 1,2419,160,2255,322.0,400.0,2013-04-03 17:29:00,14,4,2
9481,1,Treatment 0,7709,2952,3588,525.0,625.0,2013-04-03 17:41:00,14,4,2
3454,0,Control 1,8964,44,3154,205.0,220.0,2013-04-03 18:38:00,14,4,2
540,1,Treatment 0,8770,3433,4179,320.0,400.0,2013-04-03 18:49:00,14,4,2
3455,1,Treatment 0,1655,61,3808,665.0,625.0,2013-04-03 19:27:00,14,4,2
542,1,Treatment 0,7765,255,133,378.0,400.0,2013-04-03 20:19:00,14,4,2
6440,1,Treatment 0,6762,75,1528,161.0,220.0,2013-04-03 20:59:00,14,4,2
3456,1,Treatment 0,6830,1212,611,248.0,220.0,2013-04-03 22:37:00,14,4,2
9484,0,Control 0,7545,316,2303,342.0,400.0,2013-04-03 22:37:00,14,4,2
3457,0,Control 0,743,1855,4442,200.0,220.0,2013-04-03 23:01:00,14,4,2
3458,0,Control 0,4364,2726,3671,351.0,400.0,2013-04-03 23:46:00,14,4,2
6442,0,Control 0,2554,2916,406,341.0,400.0,2013-04-04 00:08:00,14,4,3
3459,1,Treatment 0,6116,983,2698,210.0,220.0,2013-04-04 00:56:00,14,4,3
543,1,Treatment 0,7273,1333,843,467.0,400.0,2013-04-04 01:35:00,14,4,3
9485,1,Treatment 0,99,398,436,278.0,220.0,2013-04-04 01:49:00,14,4,3
3460,0,Control 1,7973,2028,1092,189.0,220.0,2013-04-04 02:41:00,14,4,3
3461,1,Treatment 0,4199,1938,509,694.0,625.0,2013-04-04 03:45:00,14,4,3
3462,1,Treatment 0,9050,709,2116,326.0,400.0,2013-04-04 04:20:00,14,4,3
2736,0,Control 1,1133,30,238,0.0,0.0,2013-04-04 04:24:00,14,4,3
3463,0,Control 0,3982,1357,2459,345.0,400.0,2013-04-04 05:40:00,14,4,3
6443,0,Control 1,5758,2481,2764,430.0,400.0,2013-04-04 09:33:00,14,4,3
6444,1,Treatment 1,5394,689,3642,378.0,400.0,2013-04-04 11:22:00,14,4,3
6445,0,Control 0,6819,98,4363,965.0,875.0,2013-04-04 12:54:00,14,4,3
6446,0,Control 1,6207,128,2063,517.0,625.0,2013-04-04 13:40:00,14,4,3
545,1,Treatment 0,2929,211,2515,317.0,400.0,2013-04-04 13:55:00,14,4,3
546,1,Treatment 0,3,1199,971,328.0,400.0,2013-04-04 14:41:00,14,4,3
3465,0,Control 0,6307,2177,3249,546.0,625.0,2013-04-04 14:51:00,14,4,3
547,0,Control 0,4650,2685,4092,285.0,220.0,2013-04-04 16:07:00,14,4,3
548,0,Control 0,6972,2553,1232,206.0,220.0,2013-04-04 16:41:00,14,4,3
9487,0,Control 0,4937,1622,2375,536.0,625.0,2013-04-04 16:43:00,14,4,3
9488,1,Treatment 0,6661,646,4414,409.0,400.0,2013-04-04 18:52:00,14,4,3
3467,0,Control 0,4163,2981,2042,158.0,220.0,2013-04-04 19:59:00,14,4,3
9490,0,Control 0,5145,2599,2679,70.0,70.0,2013-04-04 20:00:00,14,4,3
3468,0,Control 0,6944,1992,1928,347.0,400.0,2013-04-04 20:21:00,14,4,3
6448,0,Control 1,2247,2921,1731,307.0,400.0,2013-04-04 20:30:00,14,4,3
3469,1,Treatment 0,2802,2896,2506,216.0,220.0,2013-04-04 20:41:00,14,4,3
6449,1,Treatment 1,4696,3465,2342,248.0,220.0,2013-04-04 20:54:00,14,4,3
6450,1,Treatment 0,6518,490,2026,155.0,220.0,2013-04-04 21:09:00,14,4,3
550,0,Control 0,5155,3609,108,655.0,625.0,2013-04-04 21:26:00,14,4,3
6451,0,Control 1,2968,269,376,251.0,220.0,2013-04-04 21:26:00,14,4,3
551,1,Treatment 0,6605,2683,3674,603.0,625.0,2013-04-04 21:38:00,14,4,3
3470,0,Control 0,4911,3522,4262,357.0,400.0,2013-04-04 22:18:00,14,4,3
552,0,Control 0,5944,2387,2630,220.0,220.0,2013-04-05 00:09:00,14,4,4
553,0,Control 0,62,3369,3469,42.0,70.0,2013-04-05 00:21:00,14,4,4
8762,0,Control 0,3693,2609,4061,0.0,0.0,2013-04-05 00:35:00,14,4,4
3471,0,Control 0,6377,1550,2023,217.0,220.0,2013-04-05 01:02:00,14,4,4
554,0,Control 0,8067,2358,2252,267.0,220.0,2013-04-05 01:40:00,14,4,4
3472,0,Control 0,6478,2306,369,210.0,220.0,2013-04-05 01:47:00,14,4,4
555,0,Control 0,2912,903,94,459.0,400.0,2013-04-05 03:21:00,14,4,4
2737,1,Treatment 1,4684,1632,3462,140.0,140.0,2013-04-05 03:31:00,14,4,4
3473,0,Control 1,802,2176,14,246.0,220.0,2013-04-05 04:02:00,14,4,4
6453,0,Control 0,4289,1625,539,39.0,70.0,2013-04-05 05:54:00,14,4,4
6454,1,Treatment 1,2490,688,3521,332.0,400.0,2013-04-05 06:09:00,14,4,4
6455,1,Treatment 0,7688,1607,4309,387.0,400.0,2013-04-05 06:40:00,14,4,4
6456,1,Treatment 0,4432,1130,766,711.0,625.0,2013-04-05 07:27:00,14,4,4
556,1,Treatment 1,5529,551,3726,190.0,220.0,2013-04-05 07:44:00,14,4,4
9493,1,Treatment 0,2196,3056,672,329.0,400.0,2013-04-05 08:10:00,14,4,4
557,0,Control 0,7095,797,4300,247.0,220.0,2013-04-05 08:28:00,14,4,4
6457,1,Treatment 1,4469,1063,3162,298.0,220.0,2013-04-05 08:58:00,14,4,4
6458,0,Control 1,5916,1187,4110,577.0,625.0,2013-04-05 09:56:00,14,4,4
3474,0,Control 1,4206,1764,4251,128.0,70.0,2013-04-05 10:19:00,14,4,4
558,0,Control 1,3507,1373,1595,250.0,220.0,2013-04-05 13:09:00,14,4,4
